scenario,condition,unit_id,schema_valid,completeness,corr_trigger,corr_steps,corr_credentials,corr_resources,correctness,correctness_sys,n_items,n_unscored,provisional
1,baseline,base-S1-s01,True,1.0,1.0,0.875,1.0,1.0,0.9333,0.9333,15,0,False
1,baseline,base-S1-s02,True,1.0,1.0,0.875,1.0,1.0,0.9333,0.9333,15,0,False
1,baseline,base-S1-s03,True,1.0,1.0,0.875,1.0,1.0,0.9333,0.9333,15,0,False
1,pipeline,P1-S1,True,1.0,0.75,0.75,1.0,1.0,0.8,1.0,15,0,False
1,pipeline,P3-S1,True,1.0,1.0,0.875,1.0,1.0,0.9333,1.0,15,0,False
2,baseline,base-S2-s01,True,1.0,1.0,0.9091,1.0,1.0,0.9444,0.9444,18,0,False
2,baseline,base-S2-s02,True,1.0,1.0,0.9091,1.0,1.0,0.9444,0.9444,18,0,False
2,baseline,base-S2-s03,True,1.0,1.0,0.9091,1.0,1.0,0.9444,0.9444,18,0,False
2,pipeline,P1-S2,True,1.0,1.0,0.9091,1.0,1.0,0.9444,1.0,18,0,False
2,pipeline,P3-S2,True,1.0,1.0,0.7273,1.0,1.0,0.8333,0.875,18,0,False
3,baseline,base-S3-s01,True,1.0,1.0,0.9,1.0,1.0,0.9444,0.9444,18,0,False
3,baseline,base-S3-s02,True,1.0,1.0,0.9,1.0,1.0,0.9444,0.9444,18,0,False
3,baseline,base-S3-s03,True,1.0,1.0,0.9,1.0,1.0,0.9444,0.9444,18,0,False
3,pipeline,P2-S3,True,1.0,1.0,0.8,1.0,1.0,0.8889,0.9375,18,0,False
3,pipeline,P4-S3,True,1.0,1.0,0.9,1.0,1.0,0.9444,0.9412,18,0,False
4,baseline,base-S4-s01,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,0,False
4,baseline,base-S4-s02,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,0,False
4,baseline,base-S4-s03,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,0,False
4,pipeline,P2-S4,True,1.0,1.0,0.8571,1.0,1.0,0.9333,1.0,15,0,False
4,pipeline,P4-S4,True,1.0,1.0,0.8571,1.0,1.0,0.9333,0.9333,15,0,False
